800;МРСКСиб013
41499;МРСКСиб014
801;МРСКЦП001
802;МРСКЦП002
803;МРСКЦП003
804;МРСКЦП004
805;МРСКЦП005
806;МРСКЦП006
807;МРСКЦП007
808;МРСКЦП008
809;МРСКЦП009
810;МРСКЦП010
811;МРСКЦП011
812;МРСКЦП012
813;МРСКЦП013
814;МРСКЦП014
815;МРСКЮга ао
816;МРСКЮга001
817;МРСКЮга002
818;МРСКЮга003
819;МРСКЮга004
820;МРСКЮга005
821;МРСКЮга006
36230;МТС-002D
28325;МТС-1-ао
28326;МТС-2-ао
826;МТС-ао
138531;МультиСис
41971;МурмТЭЦ-ао
41972;МурмТЭЦ-п
35613;МФБ ао
51860;МФКГорОф
108446;МФКУнСтрат
905;НАСЛФОб пф
906;НВКИпот-пф
39588;Нефтекамск
28414;НижгорГК
28415;НижгорГК-п
944;НижгорСб
945;НижгорСб-п
41973;Нижкамшина
940;НижНФГЗ ао
27853;НижНФГЗ ап
40846;НК-Акции
909;НКНХ ао
910;НКНХ ап
40845;НК-Облигац
89382;НКХП ао
913;НЛМК ао
915;НМТП ао
916;ННэнерг ао
917;ННэнерг ап
948;Новатэк ао
28351;НОВАТЭК-ао
28407;НовгГенК
28408;НовгГенК-п
951;НовгЭнрг
952;НовгЭнрг-п
949;НовгЭнСб
950;НовгЭнСб-п
29702;Новопл ап
27749;Новосибэн
41974;Новсибэн
27784;НовсибЭн2п
41975;Новсибэн-п
957;Новсибэнрг
35798;НОМОС-Б ао
27851;НорHик-3ао
27852;НорHик-4ао
27738;НорНик
27850;НорНик-2ао
27747;НорНик-п
962;НутрИнвХол
963;Нфгзотр ип
927;НФГПерспСт
928;НФГФНд2
29036;НфтФПРиР
964;О2ТВ-ао
15813;ОбСибФ ао
27854;ОбФин1ао
81204;ОВК ао
81209;ОВК-001D
28545;ОГК-1
965;ОГК-1 ao
47661;ОГК-1 ао
28508;ОГК-1-001D
28509;ОГК-1-002D
28510;ОГК-1-003D
28511;ОГК-1-004D
28512;ОГК-1-005D
967;ОГК-2 ао
968;ОГК-2-001D
969;ОГК-2-002
28513;ОГК-2-002D
970;ОГК-2-003
28514;ОГК-2-003D
28515;ОГК-2-004D
28516;ОГК-2-005D
28517;ОГК-2-006D
971;ОГК-3 ао
973;ОГК-4 ао
28449;ОГК-4-001
974;ОГК-4-001D
28454;ОГК-4-002
28455;ОГК-4-003
28450;ОГК-4-004
28451;ОГК-4-005
28452;ОГК-4-006
28453;ОГК-4-007
